,price,typ,lat,lon,beds,baths,sqft,zip code,locality,solddate
"43A Secor Rd Brookfield, CT 06804","$560,000",SingleFamilyResidence,41.431118,-73.383217,4bd,Error,Error,06804,Brookfield,"MAY 6, 2022"
"24 Henry St Fairfield, CT 06824","$560,000",SingleFamilyResidence,41.151791,-73.266754,3bd,Error,Error,06824,Fairfield,"MAY 6, 2022"
"13 Crestdale Rd Danbury, CT 06811","$515,000",SingleFamilyResidence,41.388653,-73.48941,3bd,Error,Error,06811,Danbury,"MAY 6, 2022"
"38 Arden Ln Stamford, CT 06905","$560,000",SingleFamilyResidence,41.097698,-73.559944,4bd,Error,Error,06905,Stamford,"MAY 6, 2022"
"194 Newtown Ave Norwalk, CT 06851","$640,000",SingleFamilyResidence,41.137016,-73.398621,4bd,Error,Error,06851,Norwalk,"MAY 5, 2022"
"119 Sherman Ave Hawthorne, NY 10532","$699,000",SingleFamilyResidence,41.096977,-73.787071,3bd,Error,Error,10532,Hawthorne,"MAY 5, 2022"
"13 Oakview Rd Sandy Hook, CT 06482","$555,000",SingleFamilyResidence,41.409267,-73.273857,3bd,Error,Error,06482,Sandy Hook,"MAY 5, 2022"
"17 Corntassle Rd Danbury, CT 06811","$525,000",SingleFamilyResidence,41.434196,-73.436005,3bd,Error,Error,06811,Danbury,"MAY 5, 2022"
"49 Louvain St Fairfield, CT 06825","$490,000",SingleFamilyResidence,41.201859,-73.241852,2bd,Error,"1,144 sqft (on 0.27 acres)",06825,Fairfield,"MAY 5, 2022"
"160 Katona Dr Fairfield, CT 06824","$467,460",SingleFamilyResidence,41.177917,-73.247787,5bd,Error,"2,188 sqft",06824,Fairfield,"MAY 5, 2022"
"24 Baxter Ct Mahopac, NY 10541","$550,000",SingleFamilyResidence,41.380878,-73.719803,3bd,Error,Error,10541,Mahopac,"MAY 5, 2022"
"9 Magnolia Dr Mahopac, NY 10541","$549,000",SingleFamilyResidence,41.346634,-73.728828,3bd,Error,"3,048 sqft (on 0.28 acres)",10541,Mahopac,"MAY 5, 2022"
"79 Payne Rd Bethel, CT 06801","$544,112",SingleFamilyResidence,41.408642,-73.402756,5bd,Error,Error,06801,Bethel,"MAY 5, 2022"
"27 Jefferson Dr Ridgefield, CT 06877","$650,000",SingleFamilyResidence,41.27153,-73.478218,4bd,Error,Error,06877,Ridgefield,"MAY 4, 2022"
"9 Rockmeadow Rd Norwalk, CT 06850","$494,000",SingleFamilyResidence,41.116722,-73.435326,3bd,Error,Error,06850,Norwalk,"MAY 4, 2022"
"26 Bridge Ln Yorktown Heights, NY 10598","$567,000",SingleFamilyResidence,41.325211,-73.738914,2bd,Error,Error,10598,Yorktown Heights,"MAY 4, 2022"
"260 Bennetts Farm Rd Ridgefield, CT 06877","$500,000",SingleFamilyResidence,41.339527,-73.49852,3bd,Error,Error,06877,Ridgefield,"MAY 4, 2022"
"15 Glenwood Ave Norwalk, CT 06854","$501,000",SingleFamilyResidence,41.10709,-73.42852,2bd,Error,Error,06854,Norwalk,"MAY 4, 2022"
"99 Lucille St Fairfield, CT 06825","$477,000",SingleFamilyResidence,41.191196,-73.248009,3bd,Error,"1,240 sqft (on 0.34 acres)",06825,Fairfield,"MAY 4, 2022"
"226 Eastwoods Rd Pound Ridge, NY 10576","$486,807",SingleFamilyResidence,41.206734,-73.528404,3bd,Error,Error,10576,Pound Ridge,"MAY 4, 2022"
"20 Regency Dr Norwalk, CT 06851","$692,000",SingleFamilyResidence,41.145412,-73.387878,4bd,Error,Error,06851,Norwalk,"MAY 3, 2022"
"215 Bailey Rd Fairfield, CT 06825","$695,000",SingleFamilyResidence,41.199505,-73.24176,3bd,Error,Error,06825,Fairfield,"MAY 3, 2022"
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
"22 Pheasant Ln Stamford, CT 06903","$635,000",SingleFamilyResidence,41.106392,-73.566429,4bd,Error,Error,06903,Stamford,"MAY 3, 2022"
"18 Mariana Farms Dr Danbury, CT 06811","$670,000",SingleFamilyResidence,41.397114,-73.529663,4bd,Error,Error,06811,Danbury,"MAY 3, 2022"
"71 Grandview Dr Ridgefield, CT 06877","$635,000",SingleFamilyResidence,41.311409,-73.523376,3bd,Error,Error,06877,Ridgefield,"MAY 3, 2022"
"8 Chelsea Dr Danbury, CT 06811","$700,000",SingleFamilyResidence,41.399632,-73.488075,4bd,Error,"3,366 sqft (on 0.92 acres)",06811,Danbury,"MAY 2, 2022"
"521 Manhattan Ave Hawthorne, NY 10532","$650,000",SingleFamilyResidence,41.112656,-73.790573,3bd,Error,"1,000 sqft",10532,Hawthorne,"MAY 2, 2022"
"53 Kings Ridge Rd Mahopac, NY 10541","$530,000",SingleFamilyResidence,41.367001,-73.719505,3bd,Error,Error,10541,Mahopac,"MAY 2, 2022"
"27 Grandview Dr Danbury, CT 06811","$450,000",SingleFamilyResidence,41.412956,-73.496597,4bd,Error,Error,06811,Danbury,"MAY 2, 2022"
"4 Beau St Norwalk, CT 06850","$635,000",SingleFamilyResidence,41.125397,-73.436089,3bd,Error,Error,06850,Norwalk,"MAY 2, 2022"
"19 Stable View Ln Brewster, NY 10509","$693,244",SingleFamilyResidence,41.378399,-73.620094,3bd,Error,Error,10509,Brewster,"MAY 2, 2022"
"127 Lake Dr Mahopac, NY 10541","$564,000",SingleFamilyResidence,41.387871,-73.713028,3bd,Error,Error,10541,Mahopac,"MAY 2, 2022"
"3 Lafayette Dr Trumbull, CT 06611","$685,000",SingleFamilyResidence,41.241562,-73.233704,5bd,Error,Error,06611,Trumbull,"MAY 2, 2022"
"52 Maple St Norwalk, CT 06850","$460,000",SingleFamilyResidence,41.112446,-73.424072,4bd,Error,Error,06850,Norwalk,"MAY 2, 2022"
"2 Beauford Rd Norwalk, CT 06854","$475,000",SingleFamilyResidence,41.095268,-73.435799,3bd,Error,"1,645 sqft",06854,Norwalk,"MAY 2, 2022"
"28 Crown Ave Norwalk, CT 06854","$550,000",SingleFamilyResidence,41.101501,-73.432037,4bd,Error,Error,06854,Norwalk,"MAY 2, 2022"
"29 Wedgewood Rd Trumbull, CT 06611","$650,000",SingleFamilyResidence,41.269699,-73.238426,3bd,Error,"2,876 sqft (on 0.52 acres)",06611,Trumbull,"MAY 2, 2022"
"68 Parry Rd Stamford, CT 06907","$450,000",SingleFamilyResidence,41.116844,-73.525192,3bd,Error,Error,06907,Stamford,"MAY 2, 2022"
"77 Crane Rd Stamford, CT 06902","$660,000",SingleFamilyResidence,41.075317,-73.536964,4bd,Error,Error,06902,Stamford,"MAY 2, 2022"
"31 Hill Rd Redding, CT 06896","$680,800",SingleFamilyResidence,41.296597,-73.390785,3bd,Error,Error,06896,Redding,"MAY 2, 2022"
"185 Lonetown Rd Redding, CT 06896","$600,000",SingleFamilyResidence,41.33149,-73.391396,4bd,Error,Error,06896,Redding,"MAY 2, 2022"
"21-16 Croton Lake Rd Katonah, NY 10536","$610,000",SingleFamilyResidence,41.256516,-73.698898,2bd,Error,Error,10536,Katonah,"APR 29, 2022"
"33 Horton Dr Yorktown Heights, NY 10598","$635,000",SingleFamilyResidence,41.325741,-73.745285,3bd,Error,Error,10598,Yorktown Heights,"APR 29, 2022"
"27 Mechanics Ave Tarrytown, NY 10591","$675,000",SingleFamilyResidence,41.079544,-73.861778,3bd,Error,Error,10591,Tarrytown,"APR 29, 2022"
"45 Route 116 Purdys, NY 10578","$565,000",SingleFamilyResidence,41.327633,-73.671616,3bd,Error,Error,10578,Purdys,"APR 29, 2022"
"6 Cedar Dr Danbury, CT 06811","$512,500",SingleFamilyResidence,41.451103,-73.43586,4bd,Error,Error,06811,Danbury,"APR 29, 2022"
"11 Fillow St Norwalk, CT 06850","$450,000",SingleFamilyResidence,41.117367,-73.429741,3bd,Error,Error,06850,Norwalk,"APR 29, 2022"
"8 Sunset Hill Rd Bethel, CT 06801","$536,000",SingleFamilyResidence,41.358219,-73.379028,4bd,Error,Error,06801,Bethel,"APR 29, 2022"
"30 Chatham Dr Norwalk, CT 06854","$578,000",SingleFamilyResidence,41.098587,-73.436707,4bd,Error,Error,06854,Norwalk,"APR 29, 2022"
"2 Benstone St Stamford, CT 06905","$505,000",SingleFamilyResidence,41.077293,-73.545593,3bd,Error,Error,06905,Stamford,"APR 29, 2022"
"324 Belden Hill Rd Wilton, CT 06897","$485,000",SingleFamilyResidence,41.174576,-73.43885,4bd,Error,Error,06897,Wilton,"APR 29, 2022"
"6 Chelsea Dr Danbury, CT 06811","$700,000",SingleFamilyResidence,41.399418,-73.487549,4bd,Error,Error,06811,Danbury,"APR 29, 2022"
"6016 Main St Trumbull, CT 06611","$558,000",SingleFamilyResidence,41.261711,-73.22094,3bd,Error,Error,06611,Trumbull,"APR 29, 2022"
"88 Unity Rd Stamford, CT 06905","$606,000",SingleFamilyResidence,41.082531,-73.545151,4bd,Error,Error,06905,Stamford,"APR 29, 2022"
"21 Barton Rd Monroe, CT 06468","$532,000",SingleFamilyResidence,41.303204,-73.221107,3bd,Error,Error,06468,Monroe,"APR 29, 2022"
"1105 Stillwater Rd Stamford, CT 06902","$572,500",SingleFamilyResidence,41.080257,-73.558006,3bd,Error,Error,06902,Stamford,"APR 29, 2022"
"178 Nichols St Fairfield, CT 06824","$550,000",SingleFamilyResidence,41.138374,-73.259407,2bd,Error,Error,06824,Fairfield,"APR 29, 2022"
"9 Rocco Dr Brewster, NY 10509","$525,000",SingleFamilyResidence,41.427624,-73.579987,3bd,Error,Error,10509,Brewster,"APR 28, 2022"
"61 Cross St Danbury, CT 06810","$455,000",SingleFamilyResidence,41.39513,-73.428459,3bd,Error,Error,06810,Danbury,"APR 28, 2022"
"59 Main St Newtown, CT 06470","$645,000",SingleFamilyResidence,41.415482,-73.31263,4bd,Error,Error,06470,Newtown,"APR 28, 2022"
"360 Veres St Fairfield, CT 06824","$682,299",SingleFamilyResidence,41.131443,-73.257149,3bd,Error,Error,06824,Fairfield,"APR 28, 2022"
"59 Main St Newtown, CT 06470","$645,000",SingleFamilyResidence,41.415482,-73.31263,4bd,Error,Error,06470,Newtown,"APR 28, 2022"
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
"11 Darien Clos Darien, CT 06820","$699,000",SingleFamilyResidence,41.081184,-73.461853,4bd,Error,"4,041 sqft",06820,Darien,"APR 28, 2022"
"12 Beauiles Ln Redding, CT 06896","$586,500",SingleFamilyResidence,41.305668,-73.397652,3bd,Error,Error,06896,Redding,"APR 28, 2022"
"36 Northwoods Rd Stamford, CT 06905","$455,000",SingleFamilyResidence,41.075741,-73.545464,3bd,Error,Error,06905,Stamford,"APR 28, 2022"
"13 W Church St Wilton, CT 06897","$485,000",SingleFamilyResidence,41.257767,-73.434845,4bd,Error,Error,06897,Wilton,"APR 27, 2022"
"46 Key Rock Rd Newtown, CT 06470","$516,000",SingleFamilyResidence,41.371918,-73.33519,4bd,Error,Error,06470,Newtown,"APR 27, 2022"
"26 Chelene Rd Norwalk, CT 06851","$520,000",SingleFamilyResidence,41.113796,-73.400253,3bd,Error,Error,06851,Norwalk,"APR 27, 2022"
"80 Copper Square Dr #80 Bethel, CT 06801","$485,000",SingleFamilyResidence,41.41703,-73.38588,3bd,Error,Error,06801,Bethel,"APR 27, 2022"
"4 Tommys Ln South Salem, NY 10590","$526,000",SingleFamilyResidence,41.212261,-73.513939,3bd,Error,Error,10590,South Salem,"APR 27, 2022"
"2 Brightview Ct Mahopac, NY 10541","$560,000",SingleFamilyResidence,41.425377,-73.729889,3bd,Error,Error,10541,Mahopac,"APR 27, 2022"
"6 Fuller Rd Ossining, NY 10562","$530,000",SingleFamilyResidence,41.153976,-73.859177,4bd,Error,Error,10562,Ossining,"APR 27, 2022"
"60 Scribner Ave Norwalk, CT 06854","$650,000",SingleFamilyResidence,41.099461,-73.435425,3bd,Error,Error,06854,Norwalk,"APR 27, 2022"
"46 Stevens St Norwalk, CT 06850","$500,000",SingleFamilyResidence,41.110359,-73.424126,3bd,Error,Error,06850,Norwalk,"APR 27, 2022"
"20 Weatherbell Dr Norwalk, CT 06851","$630,000",SingleFamilyResidence,41.16666,-73.389946,5bd,Error,Error,06851,Norwalk,"APR 27, 2022"
"206 Campbell Rd Yorktown Heights, NY 10598","$660,000",SingleFamilyResidence,41.334236,-73.789848,3bd,Error,Error,10598,Yorktown Heights,"APR 27, 2022"
"1485 Stillson Rd Fairfield, CT 06824","$625,000",SingleFamilyResidence,41.172955,-73.265892,4bd,Error,Error,06824,Fairfield,"APR 27, 2022"
"31 Berkshire Dr Brookfield, CT 06804","$450,000",SingleFamilyResidence,41.474003,-73.440239,3bd,Error,Error,06804,Brookfield,"APR 27, 2022"
"3766 Chesterfield Dr Mohegan Lake, NY 10547","$605,000",SingleFamilyResidence,41.331383,-73.847054,3bd,Error,Error,10547,Mohegan Lake,"APR 26, 2022"
"114 Gleneida Ave Carmel, NY 10512","$500,000",SingleFamilyResidence,41.431416,-73.680038,4bd,Error,Error,10512,Carmel,"APR 26, 2022"
"406B Heritage Hls Somers, NY 10589","$505,000",SingleFamilyResidence,41.335579,-73.689873,2bd,Error,"1,296 sqft (on 1.09 acres)",10589,Somers,"APR 26, 2022"
"45 Belltown Rd Stamford, CT 06905","$460,000",SingleFamilyResidence,41.077332,-73.531067,3bd,Error,"1,815 sqft",06905,Stamford,"APR 26, 2022"
"18 Lull Water Rd Trumbull, CT 06611","$576,000",SingleFamilyResidence,41.253185,-73.224274,3bd,Error,Error,06611,Trumbull,"APR 25, 2022"
"125 Warsaw St Fairfield, CT 06825","$518,000",SingleFamilyResidence,41.183064,-73.232674,3bd,Error,Error,06825,Fairfield,"APR 25, 2022"
"542 Bennetts Farm Rd Ridgefield, CT 06877","$562,222",SingleFamilyResidence,41.327332,-73.483498,4bd,Error,Error,06877,Ridgefield,"APR 25, 2022"
"17 Wolfpits Rd Bethel, CT 06801","$670,000",SingleFamilyResidence,41.372334,-73.38372,4bd,Error,Error,06801,Bethel,"APR 25, 2022"
"1642 Wenonah Trl Mohegan Lake, NY 10547","$610,000",SingleFamilyResidence,41.308861,-73.850052,3bd,Error,"1,784 sqft (on 0.42 acres)",10547,Mohegan Lake,"APR 25, 2022"
"377 Lake Shore Dr Pleasantville, NY 10570","$639,500",SingleFamilyResidence,41.142101,-73.772026,4bd,Error,Error,10570,Pleasantville,"APR 25, 2022"
"22 Maplecrest Dr Danbury, CT 06811","$645,000",SingleFamilyResidence,41.402805,-73.522522,4bd,Error,Error,06811,Danbury,"APR 25, 2022"
"27 Soundview Ave Norwalk, CT 06854","$450,000",SingleFamilyResidence,41.092743,-73.429657,2bd,Error,Error,06854,Norwalk,"APR 25, 2022"
"15 Anderson Rd Norwalk, CT 06851","$517,500",SingleFamilyResidence,41.143093,-73.400856,3bd,Error,Error,06851,Norwalk,"APR 25, 2022"
"327 Fan Hill Rd Monroe, CT 06468","$540,000",SingleFamilyResidence,41.344639,-73.228195,4bd,Error,Error,06468,Monroe,"APR 25, 2022"
"6 Daniska Dr Bethel, CT 06801","$500,000",SingleFamilyResidence,41.341251,-73.397491,4bd,Error,Error,06801,Bethel,"APR 22, 2022"
"4 Main St Newtown, CT 06470","$575,000",SingleFamilyResidence,41.409634,-73.30526,5bd,Error,Error,06470,Newtown,"APR 22, 2022"
"29 Plumtrees Rd Newtown, CT 06470","$700,000",SingleFamilyResidence,41.396889,-73.365181,4bd,Error,Error,06470,Newtown,"APR 22, 2022"
"16 Black Cherry Ln Sandy Hook, CT 06482","$590,000",SingleFamilyResidence,41.426552,-73.270508,4bd,Error,Error,06482,Sandy Hook,"APR 22, 2022"
"512 Fair St Carmel, NY 10512","$640,000",SingleFamilyResidence,41.452759,-73.645737,4bd,Error,Error,10512,Carmel,"APR 22, 2022"
"37 Steiner Dr Mahopac, NY 10541","$495,000",SingleFamilyResidence,41.395382,-73.777901,3bd,Error,Error,10541,Mahopac,"APR 22, 2022"
"901 Main St Monroe, CT 06468","$450,000",SingleFamilyResidence,41.35511,-73.261368,3bd,Error,Error,06468,Monroe,"APR 22, 2022"
"171 Redding Rd Redding, CT 06896","$490,000",SingleFamilyResidence,41.272034,-73.423347,3bd,Error,Error,06896,Redding,"APR 22, 2022"
"171 Redding Rd Redding, CT 06896","$490,000",SingleFamilyResidence,41.272034,-73.423347,3bd,Error,Error,06896,Redding,"APR 22, 2022"
"1719 Summit St Yorktown Heights, NY 10598","$565,000",SingleFamilyResidence,41.267532,-73.777786,3bd,Error,Error,10598,Yorktown Heights,"APR 22, 2022"
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
"901 Main St Monroe, CT 06468","$450,000",SingleFamilyResidence,41.35511,-73.261368,3bd,Error,Error,06468,Monroe,"APR 22, 2022"
"60 Campbell Dr Stamford, CT 06903","$630,000",SingleFamilyResidence,41.126663,-73.557915,3bd,Error,Error,06903,Stamford,"APR 21, 2022"
"14 Loder Rd Yorktown Heights, NY 10598","$580,127",SingleFamilyResidence,41.297428,-73.77282,3bd,Error,Error,10598,Yorktown Heights,"APR 21, 2022"
"79 Riverside Rd Sandy Hook, CT 06482","$460,000",SingleFamilyResidence,41.423061,-73.261024,3bd,Error,Error,06482,Sandy Hook,"APR 21, 2022"
"97 Ridgeland Rd South Salem, NY 10590","$467,000",SingleFamilyResidence,41.242077,-73.540359,3bd,Error,Error,10590,South Salem,"APR 20, 2022"
"99 Kennard Rd Mahopac, NY 10541","$600,000",SingleFamilyResidence,41.344963,-73.766869,3bd,Error,Error,10541,Mahopac,"APR 20, 2022"
"19 Lincoln Ave Norwalk, CT 06854","$450,000",SingleFamilyResidence,41.090176,-73.415291,3bd,Error,Error,06854,Norwalk,"APR 20, 2022"
"12 Valley Dr W Yorktown Heights, NY 10598","$485,000",SingleFamilyResidence,41.334629,-73.74688,3bd,Error,Error,10598,Yorktown Heights,"APR 20, 2022"
"1 Knollwood Dr Ossining, NY 10562","$615,000",SingleFamilyResidence,41.179672,-73.861191,4bd,Error,Error,10562,Ossining,"APR 20, 2022"
"17 Cotswold Dr North Salem, NY 10560","$589,000",SingleFamilyResidence,41.320152,-73.648735,2bd,Error,Error,10560,North Salem,"APR 20, 2022"
"743 Long Ridge Rd Stamford, CT 06902","$550,000",SingleFamilyResidence,41.094719,-73.562347,2bd,Error,"1,482 sqft (on 0.75 acres)",06902,Stamford,"APR 20, 2022"
"576 Barrack Hill Rd Ridgefield, CT 06877","$576,000",SingleFamilyResidence,41.31691,-73.54361,3bd,Error,Error,06877,Ridgefield,"APR 20, 2022"
"62 Ridgecrest Dr Ridgefield, CT 06877","$520,000",SingleFamilyResidence,41.30088,-73.500443,4bd,Error,"3,650 sqft (on 1.19 acres)",06877,Ridgefield,"APR 20, 2022"
"55 Sunnyridge Rd Katonah, NY 10536","$625,000",SingleFamilyResidence,41.284008,-73.651451,2bd,Error,Error,10536,Katonah,"APR 20, 2022"
"96 Charter Oak Dr Wilton, CT 06897","$700,000",SingleFamilyResidence,41.223705,-73.467407,4bd,Error,"2,928 sqft (on 2.17 acres)",06897,Wilton,"APR 19, 2022"
"17 Heritage Hill Rd Norwalk, CT 06851","$700,000",SingleFamilyResidence,41.142994,-73.404945,3bd,Error,Error,06851,Norwalk,"APR 19, 2022"
"23 Longview Ave Stamford, CT 06905","$505,000",SingleFamilyResidence,41.088581,-73.549736,3bd,Error,Error,06905,Stamford,"APR 19, 2022"
"25 Colonial Dr Mahopac, NY 10541","$460,000",SingleFamilyResidence,41.36956,-73.748383,3bd,Error,Error,10541,Mahopac,"APR 19, 2022"
"32 Ridge Rd Mahopac, NY 10541","$631,043",SingleFamilyResidence,41.36319,-73.72757,4bd,Error,Error,10541,Mahopac,"APR 18, 2022"
"22 Woods Way #13C Redding, CT 06896","$465,000",SingleFamilyResidence,41.260437,-73.425293,3bd,Error,Error,06896,Redding,"APR 18, 2022"
"12 Meadow Park Rd Baldwin Place, NY 10505","$690,000",SingleFamilyResidence,41.341965,-73.752884,4bd,Error,Error,10505,Baldwin Place,"APR 18, 2022"
"45 Varna Ln Mahopac, NY 10541","$625,000",SingleFamilyResidence,41.416145,-73.753311,5bd,Error,Error,10541,Mahopac,"APR 18, 2022"
"18 Philipse Rd Carmel, NY 10512","$585,000",SingleFamilyResidence,41.468117,-73.674156,2bd,Error,Error,10512,Carmel,"APR 18, 2022"
"215 Route 164 Patterson, NY 12563","$530,000",SingleFamilyResidence,41.47879,-73.608536,4bd,Error,Error,12563,Patterson,"APR 18, 2022"
"29 Pleasant St Katonah, NY 10536","$630,000",SingleFamilyResidence,41.250031,-73.687813,4bd,Error,Error,10536,Katonah,"APR 18, 2022"
"52 Hiram Hill Rd Monroe, CT 06468","$561,000",SingleFamilyResidence,41.298576,-73.263763,4bd,Error,Error,06468,Monroe,"APR 18, 2022"
"50 Lakeview Dr Norwalk, CT 06850","$470,000",SingleFamilyResidence,41.131603,-73.432312,3bd,Error,Error,06850,Norwalk,"APR 18, 2022"
"290 Knollwood Dr Fairfield, CT 06824","$607,150",SingleFamilyResidence,41.167316,-73.256149,3bd,Error,Error,06824,Fairfield,"APR 18, 2022"
"3 Jefferson Ave Danbury, CT 06810","$475,000",SingleFamilyResidence,41.379551,-73.456337,3bd,Error,Error,06810,Danbury,"APR 18, 2022"
"2066 Allan Ave Yorktown Heights, NY 10598","$500,000",SingleFamilyResidence,41.273376,-73.786713,5bd,Error,Error,10598,Yorktown Heights,"APR 18, 2022"
"1563 Melville Ave Fairfield, CT 06825","$650,000",SingleFamilyResidence,41.196808,-73.238838,4bd,Error,Error,06825,Fairfield,"APR 18, 2022"
"15 Alrowood Dr Norwalk, CT 06851","$595,000",SingleFamilyResidence,41.120998,-73.393143,3bd,Error,Error,06851,Norwalk,"APR 18, 2022"
"33 Marsh Rd Easton, CT 06612","$452,000",SingleFamilyResidence,41.235558,-73.263252,4bd,Error,Error,06612,Easton,"APR 18, 2022"
"2 Sunrise Dr Mahopac, NY 10541","$493,500",SingleFamilyResidence,41.342869,-73.79673,3bd,Error,Error,10541,Mahopac,"APR 15, 2022"
"37 Middle River Rd Danbury, CT 06811","$530,000",SingleFamilyResidence,41.405712,-73.494934,4bd,Error,Error,06811,Danbury,"APR 15, 2022"
"7 Canterbury Rd Norwalk, CT 06851","$680,000",SingleFamilyResidence,41.141014,-73.392738,4bd,Error,"2,052 sqft (on 0.32 acres)",06851,Norwalk,"APR 15, 2022"
"9 Orlando Pl Norwalk, CT 06854","$510,000",SingleFamilyResidence,41.105904,-73.447311,3bd,Error,Error,06854,Norwalk,"APR 15, 2022"
"1956 Longvue St Yorktown Heights, NY 10598","$635,000",SingleFamilyResidence,41.276665,-73.770767,3bd,Error,Error,10598,Yorktown Heights,"APR 15, 2022"
"59 Devils Garden Rd Norwalk, CT 06854","$640,000",SingleFamilyResidence,41.083534,-73.439255,4bd,Error,Error,06854,Norwalk,"APR 15, 2022"
"64B Heritage Hls Somers, NY 10589","$520,000",SingleFamilyResidence,41.332821,-73.686569,3bd,Error,"1,689 sqft (on 1.12 acres)",10589,Somers,"APR 14, 2022"
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
"12 Fairfield Ct Ridgefield, CT 06877","$625,000",SingleFamilyResidence,41.269279,-73.50312,3bd,Error,Error,06877,Ridgefield,"APR 14, 2022"
"15 Fullmar Ln Norwalk, CT 06850","$560,000",SingleFamilyResidence,41.136627,-73.450211,3bd,Error,Error,06850,Norwalk,"APR 14, 2022"
"10 Olmstead Rd Redding, CT 06896","$531,000",SingleFamilyResidence,41.319511,-73.461563,3bd,Error,Error,06896,Redding,"APR 14, 2022"
"2 Whittier Hills Rd North Salem, NY 10560","$575,000",SingleFamilyResidence,41.311447,-73.667953,3bd,Error,Error,10560,North Salem,"APR 14, 2022"
"15 Half Mile Cmn Westport, CT 06880","$635,000",SingleFamilyResidence,41.168812,-73.335655,3bd,Error,"1,176 sqft (on 1.01 acres)",06880,Westport,"APR 14, 2022"
"56 Deans Corner Rd Brewster, NY 10509","$632,500",SingleFamilyResidence,41.377983,-73.630211,4bd,Error,Error,10509,Brewster,"APR 14, 2022"
"78 Marlborough Ter Fairfield, CT 06825","$545,000",SingleFamilyResidence,41.18232,-73.22953,4bd,Error,Error,06825,Fairfield,"APR 14, 2022"
"131 Tower Rd Brookfield, CT 06804","$615,000",SingleFamilyResidence,41.468884,-73.370071,3bd,Error,Error,06804,Brookfield,"APR 14, 2022"
"6 Blackberry Ln Norwalk, CT 06850","$642,000",SingleFamilyResidence,41.136452,-73.442947,3bd,Error,Error,06850,Norwalk,"APR 14, 2022"
"15 Fulmar Ln Norwalk, CT 06850","$560,000",SingleFamilyResidence,41.13662,-73.450211,3bd,Error,"1,506 sqft (on 1.17 acres)",06850,Norwalk,"APR 14, 2022"
"17 Chatfield St Stamford, CT 06907","$509,000",SingleFamilyResidence,41.084156,-73.520409,3bd,Error,Error,06907,Stamford,"APR 14, 2022"
"43 Juhasz Rd Norwalk, CT 06854","$600,000",SingleFamilyResidence,41.098629,-73.44812,4bd,Error,Error,06854,Norwalk,"APR 14, 2022"
"8 Lafayette Trl Newtown, CT 06470","$640,000",SingleFamilyResidence,41.447323,-73.312744,4bd,Error,Error,06470,Newtown,"APR 14, 2022"
"25 Alberts Hill Rd Sandy Hook, CT 06482","$605,000",SingleFamilyResidence,41.441277,-73.289848,4bd,Error,Error,06482,Sandy Hook,"APR 14, 2022"
"3 Jackson Dr Norwalk, CT 06851","$625,000",SingleFamilyResidence,41.117638,-73.403603,3bd,Error,Error,06851,Norwalk,"APR 14, 2022"
"54 Valley View Rd Norwalk, CT 06851","$470,000",SingleFamilyResidence,41.146442,-73.424019,3bd,Error,Error,06851,Norwalk,"APR 14, 2022"
"5 Live Oak Rd Norwalk, CT 06851","$675,000",SingleFamilyResidence,41.158215,-73.406754,4bd,Error,"2,684 sqft (on 1 acre)",06851,Norwalk,"APR 14, 2022"
"188 Ludlowe Rd Fairfield, CT 06824","$475,000",SingleFamilyResidence,41.144016,-73.263275,3bd,Error,Error,06824,Fairfield,"APR 14, 2022"
"114 Crestwood Dr Stamford, CT 06905","$690,000",SingleFamilyResidence,41.088272,-73.544891,4bd,Error,Error,06905,Stamford,"APR 14, 2022"
"47 Ledge Ln Stamford, CT 06905","$575,000",SingleFamilyResidence,41.080284,-73.52874,3bd,Error,Error,06905,Stamford,"APR 14, 2022"
"52 Ridgewood Ave Stamford, CT 06907","$560,089",SingleFamilyResidence,41.082954,-73.522652,3bd,Error,Error,06907,Stamford,"APR 14, 2022"
"289 Everett Rd Easton, CT 06612","$450,000",SingleFamilyResidence,41.294636,-73.286034,2bd,Error,Error,06612,Easton,"APR 13, 2022"
"44 Emily Ln Mahopac, NY 10541","$620,000",SingleFamilyResidence,41.381725,-73.783463,4bd,Error,"2,575 sqft (on 1.86 acres)",10541,Mahopac,"APR 13, 2022"
"45 Forest Ct Yorktown Heights, NY 10598","$470,000",SingleFamilyResidence,41.320278,-73.777893,3bd,Error,Error,10598,Yorktown Heights,"APR 13, 2022"
"207 Sandpiper Ct Yorktown Heights, NY 10598","$479,900",SingleFamilyResidence,41.316532,-73.808472,2bd,Error,Error,10598,Yorktown Heights,"APR 13, 2022"
"1496 Florida Rd Mohegan Lake, NY 10547","$540,000",SingleFamilyResidence,41.31723,-73.845245,4bd,Error,Error,10547,Mohegan Lake,"APR 13, 2022"
"19 Whisconier Rd Brookfield, CT 06804","$675,000",SingleFamilyResidence,41.440094,-73.368462,4bd,Error,Error,06804,Brookfield,"APR 13, 2022"
